locus_tag	ftype	length_bp	gene	EC_number	COG	product
NKFGLIEL_00037	CDS	945	gsiD		COG1173	Glutathione transport system permease protein GsiD
NKFGLIEL_00038	CDS	954	gsiC		COG0601	Glutathione transport system permease protein GsiC
NKFGLIEL_00039	CDS	1131	lysK	3.5.1.-		N-acetyl-lysine deacetylase
NKFGLIEL_00040	CDS	1347				hypothetical protein
NKFGLIEL_00041	CDS	1461		1.12.7.2		Iron hydrogenase 1
NKFGLIEL_00042	CDS	279				hypothetical protein
NKFGLIEL_00043	CDS	417	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
NKFGLIEL_00044	CDS	261				hypothetical protein
NKFGLIEL_00045	CDS	2610	alaS	6.1.1.7		Alanine--tRNA ligase
NKFGLIEL_00046	CDS	759				hypothetical protein
NKFGLIEL_00047	CDS	960		2.4.-.-		putative glycosyltransferase
NKFGLIEL_00048	CDS	324	trxA		COG0526	Thioredoxin
NKFGLIEL_00049	CDS	633	engB			GTP-binding protein EngB
NKFGLIEL_00050	CDS	2313	lon1	3.4.21.53	COG0466	Lon protease 1
NKFGLIEL_00051	CDS	1227	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
NKFGLIEL_00052	CDS	609	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
NKFGLIEL_00053	CDS	1359	tig	5.2.1.8	COG0544	Trigger factor
NKFGLIEL_00054	CDS	2427	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
NKFGLIEL_00055	CDS	1026	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
NKFGLIEL_00056	CDS	1176	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
NKFGLIEL_00057	CDS	444				hypothetical protein
NKFGLIEL_00058	CDS	450				hypothetical protein
NKFGLIEL_00059	CDS	582				hypothetical protein
NKFGLIEL_00060	CDS	1059	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
NKFGLIEL_00061	CDS	1029	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
NKFGLIEL_00062	CDS	522	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
NKFGLIEL_00063	CDS	966	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
NKFGLIEL_00064	CDS	1482	hldE		COG2870	Bifunctional protein HldE
NKFGLIEL_00065	CDS	468	nrdR		COG1327	Transcriptional repressor NrdR
NKFGLIEL_00066	CDS	1026	ftsZ		COG0206	Cell division protein FtsZ
NKFGLIEL_00067	CDS	948	ftsQ			Cell division protein FtsQ
NKFGLIEL_00068	CDS	939	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
NKFGLIEL_00069	CDS	1383	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
NKFGLIEL_00070	CDS	1158	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
NKFGLIEL_00071	CDS	1356	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
NKFGLIEL_00072	CDS	966	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
NKFGLIEL_00073	CDS	1374	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
NKFGLIEL_00074	CDS	1497	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
NKFGLIEL_00075	CDS	375	ftsL_1			Cell division protein FtsL
NKFGLIEL_00076	CDS	933	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
NKFGLIEL_00077	CDS	438	mraZ			Transcriptional regulator MraZ
NKFGLIEL_00078	CDS	948	gltX_1	6.1.1.17	COG0008	Glutamate--tRNA ligase
NKFGLIEL_00079	CDS	2922				hypothetical protein
NKFGLIEL_00080	CDS	654		3.1.3.5	COG0546	5'-nucleotidase
NKFGLIEL_00081	CDS	1125				hypothetical protein
NKFGLIEL_00082	CDS	957	ldh	1.1.1.27		L-lactate dehydrogenase
NKFGLIEL_00083	CDS	600				hypothetical protein
NKFGLIEL_00084	CDS	1350	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
NKFGLIEL_00085	CDS	957				hypothetical protein
NKFGLIEL_00086	CDS	735				hypothetical protein
NKFGLIEL_00087	CDS	408				hypothetical protein
NKFGLIEL_00088	CDS	3525		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
NKFGLIEL_00089	CDS	1815	typA		COG1217	GTP-binding protein TypA/BipA
NKFGLIEL_00090	CDS	906	murB	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
NKFGLIEL_00091	CDS	348				hypothetical protein
NKFGLIEL_00092	CDS	612	trmL	2.1.1.207		tRNA (cytidine(34)-2'-O)-methyltransferase
NKFGLIEL_00093	CDS	657				hypothetical protein
NKFGLIEL_00094	CDS	1005	ymdB_1	3.5.1.-		O-acetyl-ADP-ribose deacetylase
NKFGLIEL_00095	CDS	621	fchA	3.5.4.9	COG3404	Methenyltetrahydrofolate cyclohydrolase
NKFGLIEL_00096	CDS	1680	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
NKFGLIEL_00097	CDS	843	cntK	5.1.1.24		Histidine racemase
NKFGLIEL_00098	CDS	576	fbiB	6.3.2.34		Coenzyme F420:L-glutamate ligase
NKFGLIEL_00099	CDS	1794	aspS	6.1.1.12		Aspartate--tRNA ligase
NKFGLIEL_00100	CDS	1266	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
NKFGLIEL_00101	CDS	1461	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
NKFGLIEL_00102	CDS	522	fur_1		COG0735	Ferric uptake regulation protein
NKFGLIEL_00103	CDS	1080				hypothetical protein
NKFGLIEL_00104	CDS	636	gloC_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
NKFGLIEL_00105	CDS	450	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
NKFGLIEL_00106	CDS	2199	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
NKFGLIEL_00107	CDS	1989	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
NKFGLIEL_00108	CDS	3516		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
NKFGLIEL_00109	CDS	912	gltC_1			HTH-type transcriptional regulator GltC
NKFGLIEL_00110	CDS	405				hypothetical protein
NKFGLIEL_00111	CDS	510	speH	4.1.1.50		S-adenosylmethionine decarboxylase proenzyme
NKFGLIEL_00112	CDS	603		3.1.4.-	COG3437	Cyclic di-GMP phosphodiesterase
NKFGLIEL_00113	CDS	636				hypothetical protein
NKFGLIEL_00114	CDS	2193	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
NKFGLIEL_00115	CDS	267				hypothetical protein
NKFGLIEL_00116	CDS	546				hypothetical protein
NKFGLIEL_00117	CDS	411				hypothetical protein
NKFGLIEL_00118	CDS	1470	lysP		COG0833	Lysine-specific permease
NKFGLIEL_00119	CDS	417				hypothetical protein
NKFGLIEL_00120	CDS	294				hypothetical protein
NKFGLIEL_00121	CDS	558	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
NKFGLIEL_00122	CDS	348				hypothetical protein
NKFGLIEL_00123	CDS	135				hypothetical protein
NKFGLIEL_00124	CDS	456				hypothetical protein
NKFGLIEL_00125	CDS	1041	xerC_1			Tyrosine recombinase XerC
NKFGLIEL_00126	CDS	819				hypothetical protein
NKFGLIEL_00127	CDS	642				hypothetical protein
NKFGLIEL_00128	CDS	1074				hypothetical protein
NKFGLIEL_00129	CDS	435				hypothetical protein
NKFGLIEL_00130	CDS	411				hypothetical protein
NKFGLIEL_00131	CDS	1551				hypothetical protein
NKFGLIEL_00132	CDS	738				hypothetical protein
NKFGLIEL_00133	CDS	2535				hypothetical protein
NKFGLIEL_00134	CDS	414				hypothetical protein
NKFGLIEL_00135	CDS	435	xkdM			Phage-like element PBSX protein XkdM
NKFGLIEL_00136	CDS	1155				hypothetical protein
NKFGLIEL_00137	CDS	465				hypothetical protein
NKFGLIEL_00138	CDS	396				hypothetical protein
NKFGLIEL_00139	CDS	357				hypothetical protein
NKFGLIEL_00140	CDS	276				hypothetical protein
NKFGLIEL_00141	CDS	1128				hypothetical protein
NKFGLIEL_00142	CDS	750	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
NKFGLIEL_00143	CDS	1236				hypothetical protein
NKFGLIEL_00144	CDS	1746				hypothetical protein
NKFGLIEL_00145	CDS	468				hypothetical protein
NKFGLIEL_00146	CDS	417				hypothetical protein
NKFGLIEL_00147	CDS	453				hypothetical protein
NKFGLIEL_00148	CDS	768				hypothetical protein
NKFGLIEL_00149	CDS	291				hypothetical protein
NKFGLIEL_00150	CDS	882				hypothetical protein
NKFGLIEL_00151	CDS	405				hypothetical protein
NKFGLIEL_00152	CDS	234				hypothetical protein
NKFGLIEL_00153	CDS	2511				hypothetical protein
NKFGLIEL_00154	CDS	297				hypothetical protein
NKFGLIEL_00155	CDS	171				hypothetical protein
NKFGLIEL_00156	CDS	168				hypothetical protein
NKFGLIEL_00157	CDS	237				hypothetical protein
NKFGLIEL_00158	CDS	354				hypothetical protein
NKFGLIEL_00159	CDS	120				hypothetical protein
NKFGLIEL_00160	CDS	111				hypothetical protein
NKFGLIEL_00161	CDS	135				hypothetical protein
NKFGLIEL_00162	CDS	213				hypothetical protein
NKFGLIEL_00163	CDS	498				hypothetical protein
NKFGLIEL_00164	CDS	183				hypothetical protein
NKFGLIEL_00165	CDS	327				hypothetical protein
NKFGLIEL_00166	CDS	327				hypothetical protein
NKFGLIEL_00167	CDS	96				hypothetical protein
NKFGLIEL_00168	CDS	282				hypothetical protein
NKFGLIEL_00169	CDS	195				hypothetical protein
NKFGLIEL_00170	CDS	213				hypothetical protein
NKFGLIEL_00171	CDS	681				hypothetical protein
NKFGLIEL_00172	CDS	210				hypothetical protein
NKFGLIEL_00173	CDS	354	xre_1		COG1396	HTH-type transcriptional regulator Xre
NKFGLIEL_00174	CDS	1029	polC_1	2.7.7.7		DNA polymerase III PolC-type
NKFGLIEL_00175	CDS	1161				hypothetical protein
NKFGLIEL_00176	tRNA	77				tRNA-Arg(acg)
NKFGLIEL_00177	tRNA	76				tRNA-Trp(cca)
NKFGLIEL_00178	rRNA	109				5S ribosomal RNA
NKFGLIEL_00179	rRNA	2907				23S ribosomal RNA
NKFGLIEL_00180	rRNA	1566				16S ribosomal RNA
NKFGLIEL_00181	CDS	855	thiM_1	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
NKFGLIEL_00182	CDS	777	glnH_1		COG0834	Glutamine-binding periplasmic protein
NKFGLIEL_00183	CDS	648	ppaX	3.6.1.1	COG0546	Pyrophosphatase PpaX
NKFGLIEL_00184	CDS	792	glnH_2		COG0834	Glutamine-binding periplasmic protein
NKFGLIEL_00185	CDS	1353				hypothetical protein
NKFGLIEL_00186	CDS	948	whiA		COG1481	putative cell division protein WhiA
NKFGLIEL_00187	CDS	1353				Gluconeogenesis factor
NKFGLIEL_00188	CDS	909	yvcJ		COG1660	Nucleotide-binding protein YvcJ
NKFGLIEL_00189	CDS	816	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
NKFGLIEL_00190	CDS	402				hypothetical protein
NKFGLIEL_00191	CDS	516	divIVA		COG3599	Septum site-determining protein DivIVA
NKFGLIEL_00192	CDS	786				hypothetical protein
NKFGLIEL_00193	CDS	489	sepF			Cell division protein SepF
NKFGLIEL_00194	CDS	684			COG0325	Pyridoxal phosphate homeostasis protein
NKFGLIEL_00195	CDS	819		1.10.3.-	COG1496	Polyphenol oxidase
NKFGLIEL_00196	CDS	1749				hypothetical protein
NKFGLIEL_00197	CDS	210				hypothetical protein
NKFGLIEL_00198	CDS	888	sdhA	4.3.1.17		L-serine dehydratase, alpha chain
NKFGLIEL_00199	CDS	660	sdhB	4.3.1.17		L-serine dehydratase, beta chain
NKFGLIEL_00200	CDS	3681	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
NKFGLIEL_00201	CDS	3417	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
NKFGLIEL_00202	CDS	972				hypothetical protein
NKFGLIEL_00203	CDS	1050	draG	3.2.2.24	COG1397	ADP-ribosyl-[dinitrogen reductase] glycohydrolase
NKFGLIEL_00204	CDS	1194	tuf_1		COG0050	Elongation factor Tu
NKFGLIEL_00205	tRNA	77				tRNA-Met(cat)
NKFGLIEL_00206	tRNA	76				tRNA-Thr(ggt)
NKFGLIEL_00207	tRNA	76				tRNA-Met(cat)
NKFGLIEL_00208	tRNA	86				tRNA-Tyr(gta)
NKFGLIEL_00209	tRNA	76				tRNA-Thr(tgt)
NKFGLIEL_00210	CDS	3204	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
NKFGLIEL_00211	CDS	1059	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
NKFGLIEL_00212	CDS	1290	pyrC	3.5.2.3	COG0044	Dihydroorotase
NKFGLIEL_00213	CDS	945	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
NKFGLIEL_00214	CDS	267				hypothetical protein
NKFGLIEL_00215	CDS	900	yicL_1		COG0697	putative inner membrane transporter YicL
NKFGLIEL_00216	CDS	936				hypothetical protein
NKFGLIEL_00217	CDS	588	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
NKFGLIEL_00218	CDS	714	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
NKFGLIEL_00219	CDS	444	ywnA_1		COG1959	Putative HTH-type transcriptional regulator YwnA
NKFGLIEL_00220	CDS	225				hypothetical protein
NKFGLIEL_00221	CDS	591				hypothetical protein
NKFGLIEL_00222	CDS	561				hypothetical protein
NKFGLIEL_00223	CDS	774	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
NKFGLIEL_00224	CDS	540	rbr		COG1592	Rubrerythrin
NKFGLIEL_00225	rRNA	109				5S ribosomal RNA
NKFGLIEL_00226	rRNA	2907				23S ribosomal RNA
NKFGLIEL_00227	rRNA	1566				16S ribosomal RNA
NKFGLIEL_00228	CDS	1830	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
NKFGLIEL_00229	CDS	1356	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
NKFGLIEL_00230	CDS	1608				hypothetical protein
NKFGLIEL_00231	CDS	918				hypothetical protein
NKFGLIEL_00232	CDS	825	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
NKFGLIEL_00233	CDS	483	nsrR			HTH-type transcriptional repressor NsrR
NKFGLIEL_00234	CDS	990				hypothetical protein
NKFGLIEL_00235	CDS	630				hypothetical protein
NKFGLIEL_00236	CDS	762	tpiA	5.3.1.1		Triosephosphate isomerase
NKFGLIEL_00237	CDS	1182	pgk	2.7.2.3		Phosphoglycerate kinase
NKFGLIEL_00238	CDS	1035	gap1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
NKFGLIEL_00239	CDS	1023	cggR		COG2390	Central glycolytic genes regulator
NKFGLIEL_00240	CDS	1014	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
NKFGLIEL_00241	CDS	1524	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
NKFGLIEL_00242	CDS	1029	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
NKFGLIEL_00243	CDS	762				hypothetical protein
NKFGLIEL_00244	CDS	627				hypothetical protein
NKFGLIEL_00245	tmRNA	353	ssrA			transfer-messenger RNA, SsrA
NKFGLIEL_00246	CDS	822				hypothetical protein
NKFGLIEL_00247	CDS	1587				hypothetical protein
NKFGLIEL_00248	CDS	375				hypothetical protein
NKFGLIEL_00249	CDS	1920	tet(O)			tetracycline resistance ribosomal protection protein Tet(O)
NKFGLIEL_00250	CDS	513				hypothetical protein
NKFGLIEL_00251	CDS	426				hypothetical protein
NKFGLIEL_00252	CDS	522				hypothetical protein
NKFGLIEL_00253	CDS	1026				hypothetical protein
NKFGLIEL_00254	CDS	966				hypothetical protein
NKFGLIEL_00255	CDS	855	noc			Nucleoid occlusion protein
NKFGLIEL_00256	CDS	231				hypothetical protein
NKFGLIEL_00257	CDS	264				hypothetical protein
NKFGLIEL_00258	CDS	1857				hypothetical protein
NKFGLIEL_00259	CDS	1308	fpgS	6.3.2.17		Folylpolyglutamate synthase
NKFGLIEL_00260	CDS	2664	valS	6.1.1.9	COG0525	Valine--tRNA ligase
NKFGLIEL_00261	CDS	297				hypothetical protein
NKFGLIEL_00262	CDS	825	nudC	3.6.1.22		NADH pyrophosphatase
NKFGLIEL_00263	CDS	924	thrB	2.7.1.39	COG0083	Homoserine kinase
NKFGLIEL_00264	CDS	1287	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
NKFGLIEL_00265	CDS	450				hypothetical protein
NKFGLIEL_00266	CDS	930		5.1.3.2	COG1088	UDP-glucose 4-epimerase
NKFGLIEL_00267	CDS	849		3.5.1.-	COG3394	Carbohydrate deacetylase
NKFGLIEL_00268	CDS	471	larC_1	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
NKFGLIEL_00269	CDS	762	larB	2.5.1.143	COG1691	Pyridinium-3,5-biscarboxylic acid mononucleotide synthase
NKFGLIEL_00270	CDS	810		2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase
NKFGLIEL_00271	CDS	468				hypothetical protein
NKFGLIEL_00272	CDS	492	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
NKFGLIEL_00273	CDS	555	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
NKFGLIEL_00274	CDS	618	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
NKFGLIEL_00275	CDS	1332	der_1		COG1160	GTPase Der
NKFGLIEL_00276	CDS	1326				hypothetical protein
NKFGLIEL_00277	CDS	1986	ispH	1.17.1.2		4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NKFGLIEL_00278	CDS	630	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
NKFGLIEL_00279	CDS	669	cmk_1	2.7.4.25	COG0283	Cytidylate kinase
NKFGLIEL_00280	CDS	1245	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
NKFGLIEL_00281	CDS	720	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
NKFGLIEL_00282	CDS	639	scpB		COG1386	Segregation and condensation protein B
NKFGLIEL_00283	CDS	726	scpA		COG1354	Segregation and condensation protein A
NKFGLIEL_00284	tRNA	89				tRNA-Leu(taa)
NKFGLIEL_00285	tRNA	74				tRNA-Cys(gca)
NKFGLIEL_00286	tRNA	75				tRNA-Gly(gcc)
NKFGLIEL_00287	tRNA	76				tRNA-Phe(gaa)
NKFGLIEL_00288	tRNA	77				tRNA-Asp(gtc)
NKFGLIEL_00289	CDS	1536	rny	3.1.-.-	COG1418	Ribonuclease Y
NKFGLIEL_00290	CDS	420	recX			Regulatory protein RecX
NKFGLIEL_00291	CDS	1080	recA		COG0468	Protein RecA
NKFGLIEL_00292	CDS	1260	cinA		COG1058	Putative competence-damage inducible protein
NKFGLIEL_00293	CDS	1335	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
NKFGLIEL_00294	CDS	1047				hypothetical protein
NKFGLIEL_00295	CDS	1908				hypothetical protein
NKFGLIEL_00296	CDS	396				hypothetical protein
NKFGLIEL_00297	CDS	2586				hypothetical protein
NKFGLIEL_00298	CDS	1323			COG2256	putative AAA domain-containing protein
NKFGLIEL_00299	CDS	762				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
NKFGLIEL_00300	CDS	921	lpxL_1	2.3.1.241		Lipid A biosynthesis lauroyltransferase
NKFGLIEL_00301	CDS	1032	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
NKFGLIEL_00302	CDS	420				hypothetical protein
NKFGLIEL_00303	CDS	939				hypothetical protein
NKFGLIEL_00304	CDS	486				hypothetical protein
NKFGLIEL_00305	CDS	1287				hypothetical protein
NKFGLIEL_00306	CDS	2301	bamA			Outer membrane protein assembly factor BamA
NKFGLIEL_00307	CDS	606				hypothetical protein
NKFGLIEL_00308	CDS	639	sigE			RNA polymerase sigma-35 factor
NKFGLIEL_00309	CDS	4296				hypothetical protein
NKFGLIEL_00310	CDS	1605				hypothetical protein
NKFGLIEL_00311	CDS	1245				hypothetical protein
NKFGLIEL_00312	CDS	753	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
NKFGLIEL_00313	CDS	765	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
NKFGLIEL_00314	CDS	1962				hypothetical protein
NKFGLIEL_00315	CDS	294				hypothetical protein
NKFGLIEL_00316	CDS	1107	mreB_1			Cell shape-determining protein MreB
NKFGLIEL_00317	CDS	1263	murAA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
NKFGLIEL_00318	CDS	966	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
NKFGLIEL_00319	CDS	1287	serS	6.1.1.11	COG0172	Serine--tRNA ligase
NKFGLIEL_00320	CDS	645	pspA_1	3.1.3.3	COG0406	Phosphoserine phosphatase 1
NKFGLIEL_00321	CDS	1593	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
NKFGLIEL_00322	CDS	1074	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
NKFGLIEL_00323	CDS	114				hypothetical protein
NKFGLIEL_00324	CDS	2268				hypothetical protein
NKFGLIEL_00325	CDS	948				hypothetical protein
NKFGLIEL_00326	CDS	546	pyrR			Bifunctional protein PyrR
NKFGLIEL_00327	CDS	915	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
NKFGLIEL_00328	CDS	435	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
NKFGLIEL_00329	CDS	165			COG1145	Ferredoxin
NKFGLIEL_00330	CDS	684	arlR		COG0745	Response regulator ArlR
NKFGLIEL_00331	CDS	1458	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
NKFGLIEL_00332	CDS	1488				hypothetical protein
NKFGLIEL_00333	CDS	4122				hypothetical protein
NKFGLIEL_00334	tRNA	90				tRNA-Gly(gcc)
NKFGLIEL_00335	CDS	738	glpR		COG1349	Glycerol-3-phosphate regulon repressor
NKFGLIEL_00336	CDS	1206	dtnK	2.7.1.219	COG3395	D-threonate kinase
NKFGLIEL_00337	CDS	1005	pdxA2_1	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
NKFGLIEL_00338	rRNA	109				5S ribosomal RNA
NKFGLIEL_00339	rRNA	2907				23S ribosomal RNA
NKFGLIEL_00340	rRNA	1565				16S ribosomal RNA
NKFGLIEL_00341	CDS	804				IS481 family transposase ISSsu8
NKFGLIEL_00342	CDS	285				hypothetical protein
NKFGLIEL_00343	CDS	1416		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
NKFGLIEL_00344	CDS	969	panS_1		COG0385	Pantothenate precursors transporter PanS
NKFGLIEL_00345	CDS	747	rspR_1		COG1802	HTH-type transcriptional repressor RspR
NKFGLIEL_00346	CDS	2481	gyrA	5.6.2.3	COG0188	DNA gyrase subunit A
NKFGLIEL_00347	CDS	1326		2.8.3.-	COG0427	Butanoate coenzyme A-transferase
NKFGLIEL_00348	CDS	1302		2.8.3.-	COG0427	Butanoate coenzyme A-transferase
NKFGLIEL_00349	CDS	2076	fusA_1		COG0480	Elongation factor G
NKFGLIEL_00350	CDS	1230		3.5.1.47		N-acetyldiaminopimelate deacetylase
NKFGLIEL_00351	CDS	1368	apeA	3.4.11.-	COG1362	putative M18 family aminopeptidase 1
NKFGLIEL_00352	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
NKFGLIEL_00353	CDS	621	ligK_1	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipate aldolase
NKFGLIEL_00354	CDS	1254	hacA_1	4.2.1.36	COG0065	Homoaconitase large subunit
NKFGLIEL_00355	CDS	1287	citS		COG3493	Citrate-sodium symporter
NKFGLIEL_00356	CDS	501	hacB_1	4.2.1.36	COG0066	Homoaconitase small subunit
NKFGLIEL_00357	CDS	1131	hacA_2	4.2.1.36	COG0065	Homoaconitase large subunit
NKFGLIEL_00358	CDS	1881	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
NKFGLIEL_00359	CDS	603				hypothetical protein
NKFGLIEL_00360	CDS	564				hypothetical protein
NKFGLIEL_00361	CDS	1104				hypothetical protein
