locus_tag	ftype	length_bp	gene	EC_number	COG	product
FFHCJIBM_00204	CDS	1410	bglH	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
FFHCJIBM_00205	CDS	822				hypothetical protein
FFHCJIBM_00206	CDS	552	flr_1			Flavoredoxin
FFHCJIBM_00207	CDS	189	hchA	4.2.1.130		Molecular chaperone Hsp31 and glyoxalase 3
FFHCJIBM_00208	CDS	504	yfkJ_3	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
FFHCJIBM_00209	CDS	279				hypothetical protein
FFHCJIBM_00210	CDS	471				hypothetical protein
FFHCJIBM_00211	CDS	4320				hypothetical protein
FFHCJIBM_00212	CDS	96				hypothetical protein
FFHCJIBM_00213	CDS	366				hypothetical protein
FFHCJIBM_00214	CDS	957				hypothetical protein
FFHCJIBM_00215	CDS	564	kptA	2.7.1.-		RNA 2'-phosphotransferase
FFHCJIBM_00216	CDS	606				hypothetical protein
FFHCJIBM_00217	CDS	270				hypothetical protein
FFHCJIBM_00218	CDS	957		1.1.1.-		L-2-hydroxyisocaproate dehydrogenase
FFHCJIBM_00219	CDS	651	ubiE	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
FFHCJIBM_00220	CDS	1227				IS200/IS605 family transposase ISDge19
FFHCJIBM_00221	CDS	207				hypothetical protein
FFHCJIBM_00222	CDS	108				hypothetical protein
FFHCJIBM_00223	CDS	1977				hypothetical protein
FFHCJIBM_00224	CDS	2592				hypothetical protein
FFHCJIBM_00225	CDS	450				hypothetical protein
FFHCJIBM_00226	CDS	2874				hypothetical protein
FFHCJIBM_00227	CDS	1536	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
FFHCJIBM_00228	CDS	483	guaB_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FFHCJIBM_00229	CDS	471	guaB_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FFHCJIBM_00230	CDS	387	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
FFHCJIBM_00231	CDS	1410	yifK		COG1113	putative transport protein YifK
FFHCJIBM_00232	CDS	1236	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
FFHCJIBM_00233	tRNA	76				tRNA-Glu(ttc)
FFHCJIBM_00234	tRNA	76				tRNA-Asn(gtt)
FFHCJIBM_00235	CDS	1104	sotB			Sugar efflux transporter B
FFHCJIBM_00236	CDS	1227				IS200/IS605 family transposase ISDge19
FFHCJIBM_00237	CDS	147				hypothetical protein
FFHCJIBM_00238	CDS	1632	groL		COG0459	60 kDa chaperonin
FFHCJIBM_00239	CDS	282	groS		COG0234	10 kDa chaperonin
FFHCJIBM_00240	CDS	591	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
FFHCJIBM_00241	CDS	1413				hypothetical protein
FFHCJIBM_00242	CDS	1011	tsaD_1	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
FFHCJIBM_00243	CDS	474	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
FFHCJIBM_00244	CDS	711	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
FFHCJIBM_00245	CDS	471	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
FFHCJIBM_00246	CDS	975	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
FFHCJIBM_00247	CDS	408				hypothetical protein
FFHCJIBM_00248	CDS	1503				hypothetical protein
FFHCJIBM_00249	CDS	285				hypothetical protein
FFHCJIBM_00250	CDS	549	lytC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
FFHCJIBM_00251	CDS	447				hypothetical protein
FFHCJIBM_00252	CDS	147				hypothetical protein
FFHCJIBM_00253	CDS	474				hypothetical protein
FFHCJIBM_00254	CDS	1041	xerC_1			Tyrosine recombinase XerC
FFHCJIBM_00255	CDS	987				hypothetical protein
FFHCJIBM_00256	CDS	675				hypothetical protein
FFHCJIBM_00257	CDS	1074				hypothetical protein
FFHCJIBM_00258	CDS	435				hypothetical protein
FFHCJIBM_00259	CDS	1551				hypothetical protein
FFHCJIBM_00260	CDS	738				hypothetical protein
FFHCJIBM_00261	CDS	2535				hypothetical protein
FFHCJIBM_00262	CDS	150				hypothetical protein
FFHCJIBM_00263	CDS	414				hypothetical protein
FFHCJIBM_00264	CDS	435	xkdM			Phage-like element PBSX protein XkdM
FFHCJIBM_00265	CDS	1155				hypothetical protein
FFHCJIBM_00266	CDS	465				hypothetical protein
FFHCJIBM_00267	CDS	396				hypothetical protein
FFHCJIBM_00268	CDS	357				hypothetical protein
FFHCJIBM_00269	CDS	276				hypothetical protein
FFHCJIBM_00270	CDS	1128				hypothetical protein
FFHCJIBM_00271	CDS	750	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
FFHCJIBM_00272	CDS	1236				hypothetical protein
FFHCJIBM_00273	CDS	1746				hypothetical protein
FFHCJIBM_00274	CDS	468				hypothetical protein
FFHCJIBM_00275	CDS	453				hypothetical protein
FFHCJIBM_00276	CDS	291				hypothetical protein
FFHCJIBM_00277	CDS	897				hypothetical protein
FFHCJIBM_00278	CDS	234				hypothetical protein
FFHCJIBM_00279	CDS	159				hypothetical protein
FFHCJIBM_00280	CDS	297				hypothetical protein
FFHCJIBM_00281	CDS	171				hypothetical protein
FFHCJIBM_00282	CDS	168				hypothetical protein
FFHCJIBM_00283	CDS	237				hypothetical protein
FFHCJIBM_00284	CDS	354				hypothetical protein
FFHCJIBM_00285	CDS	231				hypothetical protein
FFHCJIBM_00286	CDS	342				hypothetical protein
FFHCJIBM_00287	CDS	195				hypothetical protein
FFHCJIBM_00288	CDS	213				hypothetical protein
FFHCJIBM_00289	CDS	393				hypothetical protein
FFHCJIBM_00290	CDS	231				hypothetical protein
FFHCJIBM_00291	CDS	213				hypothetical protein
FFHCJIBM_00292	CDS	648				hypothetical protein
FFHCJIBM_00293	CDS	138				hypothetical protein
FFHCJIBM_00294	CDS	210				hypothetical protein
FFHCJIBM_00295	CDS	354	xre_1		COG1396	HTH-type transcriptional regulator Xre
FFHCJIBM_00296	CDS	384				hypothetical protein
FFHCJIBM_00297	CDS	999				hypothetical protein
FFHCJIBM_00298	tRNA	77				tRNA-Arg(acg)
FFHCJIBM_00299	tRNA	76				tRNA-Trp(cca)
FFHCJIBM_00300	rRNA	110				5S ribosomal RNA
FFHCJIBM_00301	rRNA	2909				23S ribosomal RNA
FFHCJIBM_00302	tRNA	76				tRNA-Ala(tgc)
FFHCJIBM_00303	tRNA	77				tRNA-Ile(gat)
FFHCJIBM_00304	rRNA	1562				16S ribosomal RNA
FFHCJIBM_00305	CDS	1338	naiP			Putative niacin/nicotinamide transporter NaiP
FFHCJIBM_00306	CDS	516	nadR		COG1827	Transcription repressor NadR
FFHCJIBM_00307	CDS	513				hypothetical protein
FFHCJIBM_00308	CDS	1254	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
FFHCJIBM_00309	CDS	927	hdfR_1			HTH-type transcriptional regulator HdfR
FFHCJIBM_00310	CDS	912				hypothetical protein
FFHCJIBM_00311	CDS	585				hypothetical protein
FFHCJIBM_00312	CDS	930	secF		COG0341	Protein translocase subunit SecF
FFHCJIBM_00313	CDS	1251	secDF		COG0341	Protein translocase subunit SecDF
FFHCJIBM_00314	CDS	567	yqgN		COG0212	putative protein YqgN
FFHCJIBM_00315	CDS	417				hypothetical protein
FFHCJIBM_00316	CDS	1107	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
FFHCJIBM_00317	CDS	1020	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
FFHCJIBM_00318	CDS	1392				hypothetical protein
FFHCJIBM_00319	CDS	219				hypothetical protein
FFHCJIBM_00320	CDS	1005	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
FFHCJIBM_00321	CDS	606	ruvA	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvA
FFHCJIBM_00322	CDS	501	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
FFHCJIBM_00323	CDS	423				hypothetical protein
FFHCJIBM_00324	CDS	1374	mepA_1			Multidrug export protein MepA
FFHCJIBM_00325	CDS	1032				hypothetical protein
FFHCJIBM_00326	CDS	300				hypothetical protein
FFHCJIBM_00327	CDS	912				hypothetical protein
FFHCJIBM_00328	CDS	573		2.3.1.-		Putative acetyltransferase
FFHCJIBM_00329	CDS	1161			COG1073	putative protein
FFHCJIBM_00330	CDS	627				hypothetical protein
FFHCJIBM_00331	CDS	1128			COG1073	putative protein
FFHCJIBM_00332	CDS	444				hypothetical protein
FFHCJIBM_00333	CDS	420				hypothetical protein
FFHCJIBM_00334	CDS	207				hypothetical protein
FFHCJIBM_00335	CDS	1227				IS200/IS605 family transposase ISDge19
FFHCJIBM_00336	CDS	1170	adh2_1	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
FFHCJIBM_00337	CDS	894	hdfR_2			HTH-type transcriptional regulator HdfR
FFHCJIBM_00338	CDS	186	rpmF		COG0333	50S ribosomal protein L32
FFHCJIBM_00339	CDS	507				hypothetical protein
FFHCJIBM_00340	CDS	1653	udk	2.7.1.48		Uridine kinase
FFHCJIBM_00341	CDS	1026				hypothetical protein
FFHCJIBM_00342	CDS	423				hypothetical protein
FFHCJIBM_00343	CDS	876	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
FFHCJIBM_00344	CDS	2253				hypothetical protein
FFHCJIBM_00345	CDS	651	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
FFHCJIBM_00346	CDS	1209				hypothetical protein
FFHCJIBM_00347	CDS	1029				hypothetical protein
FFHCJIBM_00348	CDS	975	ansA	3.5.1.1	COG0252	putative L-asparaginase
FFHCJIBM_00349	CDS	1488	yhdG_1		COG0531	putative amino acid permease YhdG
FFHCJIBM_00350	CDS	732				hypothetical protein
FFHCJIBM_00351	CDS	399				hypothetical protein
FFHCJIBM_00352	CDS	1041				hypothetical protein
FFHCJIBM_00353	CDS	1311				hypothetical protein
FFHCJIBM_00354	CDS	402				hypothetical protein
FFHCJIBM_00355	CDS	2583				hypothetical protein
FFHCJIBM_00356	CDS	594	cmk_1	2.7.4.25		Cytidylate kinase
FFHCJIBM_00357	CDS	1221	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
FFHCJIBM_00358	CDS	987	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
FFHCJIBM_00359	CDS	1320	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
FFHCJIBM_00360	CDS	210				hypothetical protein
FFHCJIBM_00361	CDS	1245	sstT		COG3633	Serine/threonine transporter SstT
FFHCJIBM_00362	CDS	1413				hypothetical protein
FFHCJIBM_00363	CDS	2796	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
FFHCJIBM_00364	CDS	1407	alsT_2		COG1115	Amino-acid carrier protein AlsT
FFHCJIBM_00365	CDS	501				hypothetical protein
FFHCJIBM_00366	CDS	723	cobB	3.5.1.-	COG0846	NAD-dependent protein deacetylase
FFHCJIBM_00367	CDS	1341				hypothetical protein
FFHCJIBM_00368	CDS	210				hypothetical protein
FFHCJIBM_00369	CDS	792		3.2.1.-		Protein-ADP-ribose hydrolase
FFHCJIBM_00370	CDS	894		2.4.2.-		Protein ADP-ribosyltransferase
FFHCJIBM_00371	CDS	639				hypothetical protein
FFHCJIBM_00372	CDS	2364	mutS2	3.1.-.-		Endonuclease MutS2
FFHCJIBM_00373	CDS	2193				hypothetical protein
FFHCJIBM_00374	CDS	1098	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
FFHCJIBM_00375	CDS	168				hypothetical protein
FFHCJIBM_00376	CDS	393	rpsI		COG0103	30S ribosomal protein S9
FFHCJIBM_00377	CDS	441	rplM		COG0102	50S ribosomal protein L13
FFHCJIBM_00378	CDS	918	hcaR			Hca operon transcriptional activator HcaR
FFHCJIBM_00379	CDS	420				hypothetical protein
FFHCJIBM_00380	CDS	1851				hypothetical protein
FFHCJIBM_00381	CDS	1191				hypothetical protein
FFHCJIBM_00382	CDS	1098	haeIIIM	2.1.1.37		Modification methylase HaeIII
FFHCJIBM_00383	CDS	750				hypothetical protein
FFHCJIBM_00384	CDS	1047				hypothetical protein
FFHCJIBM_00385	CDS	765				hypothetical protein
FFHCJIBM_00386	CDS	2313				hypothetical protein
